,flight_id,iop,iop_date_local,nominal_altitude,sensor_aspirated,sensor_unaspirated,aspirated_start_time_utc,aspirated_end_time_utc,unaspirated_start_time_utc,unaspirated_end_time_utc,aspirated_stack_duration,unaspirated_stack_duration
150,58,18,5/30/23 0:00,350,X03,X05,5/30/23 23:39,5/30/23 23:52,5/30/23 23:39,5/30/23 23:52,12.683333333333334,12.7
151,59,18,5/30/23 0:00,350,X03,X05,5/31/23 0:15,5/31/23 0:28,,,13.083333333333334,
152,60,18,5/30/23 0:00,350,X03,X05,5/31/23 1:17,5/31/23 1:29,,,12.416666666666666,
153,61,18,5/30/23 0:00,350,X03,X05,5/31/23 1:48,5/31/23 1:56,,,8.483333333333333,
154,55,18,5/30/23 0:00,235,X01,X10,5/30/23 18:40,5/30/23 18:50,5/30/23 18:40,5/30/23 18:50,9.983333333333333,9.983333333333333
155,56,18,5/30/23 0:00,235,X01,X10,5/30/23 22:17,5/30/23 22:32,5/30/23 22:17,5/30/23 22:32,14.65,14.7
156,57,18,5/30/23 0:00,235,X01,X10,5/30/23 23:02,5/30/23 23:16,,,13.333333333333334,
157,58,18,5/30/23 0:00,235,X01,X10,5/30/23 23:39,5/30/23 23:52,,,13,
158,59,18,5/30/23 0:00,235,X01,X10,5/31/23 0:15,5/31/23 0:28,,,12.9,
159,60,18,5/30/23 0:00,235,X01,X10,5/31/23 1:17,5/31/23 1:30,,,12.6,
160,61,18,5/30/23 0:00,235,X01,X10,5/31/23 1:48,5/31/23 1:56,,,8.583333333333334,
161,55,18,5/30/23 0:00,120,X04,X07,5/30/23 18:38,5/30/23 18:44,5/30/23 18:38,5/30/23 18:51,5.616666666666666,12.8
162,56,18,5/30/23 0:00,120,X07,X04,,,5/30/23 22:16,5/30/23 22:31,,15.016666666666667
163,57,18,5/30/23 0:00,120,X07,X04,,,5/30/23 22:59,5/30/23 23:16,,16.75
164,58,18,5/30/23 0:00,120,X07,X04,,,5/30/23 23:39,5/30/23 23:52,,12.816666666666666
165,59,18,5/30/23 0:00,120,X07,X04,,,5/31/23 0:15,5/31/23 0:28,,13.483333333333333
166,60,18,5/30/23 0:00,120,X07,X04,,,5/31/23 1:17,5/31/23 1:30,,12.766666666666667
168,62,19,6/1/23 0:00,120,X09,X01,6/1/23 18:48,6/1/23 19:01,,,12.883333333333333,
169,63,19,6/1/23 0:00,120,X09,X01,6/1/23 19:12,6/1/23 19:21,,,15.283333333333333,
170,64,19,6/1/23 0:00,120,X09,X01,6/1/23 19:43,6/1/23 19:57,,,13.583333333333334,
171,65,19,6/1/23 0:00,120,X09,X01,6/1/23 23:02,6/1/23 23:10,,,7.633333333333334,
172,66,19,6/1/23 0:00,120,X09,X01,6/2/23 0:09,6/2/23 0:27,,,17.55,
173,62,19,6/1/23 0:00,235,X04,X07,6/1/23 18:48,6/1/23 19:01,6/1/23 18:48,6/1/23 19:01,12.9,12.9
