,flight_id,iop_date_local,iop,drone_name,flight_number_of_day,nominal_altitude,takeoff_time_local,landing_time_local,takeoff_time_utc,landing_time_utc,sensor_aspirated,sensor_unaspirated
126,47,2022-06-18,14,Cb,4,350,2022-06-18 19:22:00,2022-06-18 19:41:00,2022-06-19 01:22:00,2022-06-19 01:41:00,X02,
127,48,2022-06-18,14,Cb,6,350,2022-06-18 19:44:00,2022-06-18 20:05:00,2022-06-19 01:44:00,2022-06-19 02:05:00,X02,
128,48,2022-06-18,14,St,6,120,2022-06-18 19:44:00,2022-06-18 20:05:00,2022-06-19 01:44:00,2022-06-19 02:05:00,X10,
129,49,2023-05-24,15,St,1,350,2023-05-24 12:45:00,2023-05-24 13:04:00,2023-05-24 18:45:00,2023-05-24 19:04:00,X04,X05
130,49,2023-05-24,15,Ac,1,235,2023-05-24 12:45:00,2023-05-24 13:05:00,2023-05-24 18:45:00,2023-05-24 19:05:00,X10,X01
131,49,2023-05-24,15,Cb,1,120,2023-05-24 12:45:00,2023-05-24 13:05:00,2023-05-24 18:45:00,2023-05-24 19:05:00,X03,X02
132,50,2023-05-26,16,St,1,350,2023-05-26 13:03:00,2023-05-26 13:21:00,2023-05-26 19:03:00,2023-05-26 19:21:00,X09,X06
133,50,2023-05-26,16,Ac,1,235,2023-05-26 13:03:00,2023-05-26 13:20:00,2023-05-26 19:03:00,2023-05-26 19:20:00,X10,X03
134,50,2023-05-26,16,Cb,1,120,2023-05-26 13:03:00,2023-05-26 13:20:00,2023-05-26 19:03:00,2023-05-26 19:20:00,X04,X07
135,51,2023-05-26,16,St,2,350,2023-05-26 14:47:00,2023-05-26 15:02:00,2023-05-26 20:47:00,2023-05-26 21:02:00,X09,X06
136,51,2023-05-26,16,Ac,2,235,2023-05-26 14:47:00,2023-05-26 15:02:00,2023-05-26 20:47:00,2023-05-26 21:02:00,X10,X03
137,51,2023-05-26,16,Cb,2,120,2023-05-26 14:47:00,2023-05-26 15:02:00,2023-05-26 20:47:00,2023-05-26 21:02:00,X04,X07
138,52,2023-05-27,17,St,1,350,2023-05-27 12:30:00,2023-05-27 12:48:00,2023-05-27 18:30:00,2023-05-27 18:48:00,X09,X05
139,52,2023-05-27,17,Ac,1,235,2023-05-27 12:31:00,2023-05-27 12:47:00,2023-05-27 18:31:00,2023-05-27 18:47:00,X10,X03
140,52,2023-05-27,17,Cb,1,120,2023-05-27 12:31:00,2023-05-27 12:48:00,2023-05-27 18:31:00,2023-05-27 18:48:00,X04,X07
141,53,2023-05-27,17,St,2,350,2023-05-27 15:27:00,2023-05-27 15:45:00,2023-05-27 21:27:00,2023-05-27 21:45:00,X09,X05
142,53,2023-05-27,17,Ac,2,235,2023-05-27 15:27:00,2023-05-27 15:45:00,2023-05-27 21:27:00,2023-05-27 21:45:00,X10,X03
143,53,2023-05-27,17,Cb,2,120,2023-05-27 15:27:00,2023-05-27 15:45:00,2023-05-27 21:27:00,2023-05-27 21:45:00,X04,X07
144,54,2023-05-27,17,St,3,350,2023-05-27 17:31:00,2023-05-27 17:49:00,2023-05-27 23:31:00,2023-05-27 23:49:00,X09,X05
145,54,2023-05-27,17,Ac,3,235,2023-05-27 17:32:00,2023-05-27 17:48:00,2023-05-27 23:32:00,2023-05-27 23:48:00,X10,X03
146,54,2023-05-27,17,Cb,3,120,2023-05-27 17:32:00,2023-05-27 17:49:00,2023-05-27 23:32:00,2023-05-27 23:49:00,X04,X07
147,55,2023-05-30,18,St,1,350,2023-05-30 12:36:00,2023-05-30 12:53:00,2023-05-30 18:36:00,2023-05-30 18:53:00,X03,X05
